Categories,Final_Category
BATTERY_40AH_LEFT,BATTERY
FRONT OUTER DOOR HANDLE CAP LHS,DOOR HANDLE
CENTER AC VENT LHS,AC VENT
DICKEY INNER DOOR PANEL,OTHERS
AUTOMATIC TRANSMISSION OIL,AUTOMATIC TRANSMISSION
ACCELERATOR CABLE,OTHERS
FUEL INJECTOR,FUEL INJECTOR
HEATER INLET HOSE,OTHERS
FRONT SEAT HEAD REST (LHS/RHS),FRONT SEAT
KNOCK SENSOR,SENSOR
SPEAKER 6.5 INCH,OTHERS
FRONT WINDSHIELD MOULDING,WINDSHIELD
ANA BOND,ANA BOND
ENGINE V BELT SET,V BELT
FENDER INDICATOR LHS,FENDER INDICATOR
FRONT WIPER NOZZLE,FRONT WIPER
FRONT DRIVE SHAFT BOOT SET,FRONT DRIVE
FRONT SHOCKER BEARING,SHOCK ABSORBER
BATTERY CABLE POSITIVE,BATTERY
INNER DOOR HANDLE RHS (FRONT/REAR),DOOR HANDLE
TYRE_155/R13LT90/89R,TYRE
TYRE_155R13LT90/89Q,TYRE
COOLANT TEMPERATURE SENSOR,SENSOR
DICKEY CARDBOARD,OTHERS
FRONT LOWER CONTROL ARM BALL JOINT SET,CONTROL ARM
3RD ROW SEAT ASSY,OTHERS
BATTERY_52AH_RIGHT,BATTERY
REAR LINK ROD,LINK ROD
DICKEY DOOR GARNISH,DICKEY DOOR
HEATER OUTLET HOSE,OTHERS
MANUAL TRANSMISSION OIL,MANUAL TRANSMISSION
RELAY,RELAY
REAR COIL SPRING PAD LOWER,REAR COIL
REAR SEAT BELT ASSY,SEAT BELT
TIE ROD END SET,TIE ROD
BATTERY_54AH_LEFT,BATTERY
FRONT SHOCKER MOUNT SUPPORT,SHOCK ABSORBER
FRONT DOOR CHECK ARM (LHS/RHS),FRONT DOOR
IGNITION CABLE,IGNITION CABLE
REAR SEAT BELT BUCKLE RHS,SEAT BELT
RADIATOR FAN MOTOR RESISTOR,RADIATOR
TYRE_165/65/R13,TYRE
TYRE_145/70/R13,TYRE
REAR SEAT BELT BUCKLE LHS,SEAT BELT
SILENCER MOUNTING C,OTHERS
FRONT LOWER CONTROL ARM BUSH,CONTROL ARM
WIPER BLADE 14,WIPER BLADE
WINDOW RUN CHANNEL WEATHERSTRIP,WEATHERSTRIP
REAR OEM MONOGRAM MERCEDES,MONOGRAM
BATTERY CABLE NEGATIVE,BATTERY
DOOR SWITCH,SWITCH
REAR SHOCKER MOUNT,SHOCK ABSORBER
FRONT BUMPER CENTER MEMBER,BUMPER
